Name,Year of release,Image,title,country origin,Number of Episode,Aired Date,original network,Duration,Content Rating,Rating,Rank,popularity,watcher,Synopsis,Genre,Tags,Cast,watch on,director,Aired On,,,,,
Go Ho's Starry Night,2016,https://i.mydramalist.com/X4L4gc.jpg?v=1,Go Ho's Starry Night,South Korea,20,,"SBS,Sohu TV",60 min,Not Yet Rated,8.2,785,353,"19,646","The Starry Night is a Chinese-South Korean collaboration web drama.
At twenty-nine-years-old, Go Ho faces the struggles of the modern day woman, namely the struggles to succeed in work and romance in the 21st Century. An advertisement contractor who is unlucky in love, Go Ho works hard to be successful with her career, and only thinks of romance as an afterthought. But one day, an old flame turns up, taking on the role of her new boss, and suddenly it seems like every man is looking her way. Will the dust settle long enough for her to make the right romantic choices?","Office Romance, Love,Comedy",,Kwon Yu Ri Go HoMain RoleKim Young Kwang Kang Tae Ho / Park Kwang SooMain RoleLee Ji Hoon Hwang Ji HoonMain RoleShin Jae Ha Oh Jung MinSupport RoleKim Ji Hoon Park Jin WooSupport RoleKang Rae Yeon Lee Hee YeonSupport Role,Viki   Kocowa ,Shin Yoo Dam,"Saturday, Sunday",,,,,
Sweet Stranger and Me,2016,https://i.mydramalist.com/5d4O4c.jpg?v=1,Sweet Stranger and Me,South Korea,16,,KBS2,60 min,Not Yet Rated,7.4,3930,455,"16,613","Hong Na Ri is a proud flight attendant who suffers a series of misfortunes after her mother passes away and then she discovers that her longtime fiancee, Jo Dong Jin, is cheating on her with fellow flight attendant Do Yeo Joo. To get her mind off her troubles, Na Ri returns to her mother’s home, only to find a handsome young man, Go Nan Gil, living in Na Ri’s mother’s house and running her mother’s dumpling restaurant. Incredulously, Nan Gil tells Na Ri that he is her father, having married Na Ri’s mother before she passed away! Meanwhile, Kwon Duk Bong is a wealthy businessman who wants to help Na Ri reclaim her mother’s property so that he can develop the land. Can he help Na Ri prove that Nan Gil is a lying swindler?
(Source: Viki)

~~ Adapted from the webcomic “Woorijibe Saneun Namja” by Yoo Hyun Sook.","Competent Protagonist, Mature Protagonist, Strong Male Lead, Nice Male Lead, Love Confession, Nice Female Lead, Secret, Flight Attendant, Gang, Gangster",,Park Soo Ae Hong Na RiMain RoleKim Young Kwang Go Nan GilMain RoleLee Soo Hyuk Kwon Deok BongMain RoleJo Bo Ah Do Yeo Joo [Na Ri's co-worker]Main RoleKim Ji Hoon Jo Dong Jin [Na Ri's boyfriend]Main RoleJung Kyung Soon Kwon Soon Rye [Deok Bong's secretary]Support Role,Viki  Kocowa Subscription,Kim Jung Min,"Monday, Tuesday",,,,,
My Wife’s Having an Affair this Week,2016,https://i.mydramalist.com/Lenybc.jpg?v=1,My Wife’s Having an Affair this Week,South Korea,12,,jTBC,60 min,Not Yet Rated,7.9,1576,948,"8,520","Hyun Woo fell in love with Soo Yeon at first sight in college and they have been married for 8 years. He thought he had the perfect family, with Soo Yeon, who is a beautiful wife and a good mother to his beloved son. Then one day, Hyun Woo sees a hotel reservation message sent by a male stranger on Soo Yeon’s phone. Even though he tries not to think about it, proof after proof is revealed, which confirm that his wife is indeed having an affair. Since he firmly believes that he is a good husband and father, he can’t seem to forgive his wife. He blames her for putting the family in danger but then starts thinking, “Have I been a good husband to my wife?”
(Source: JTBC)","Comedy,Romance,Drama,Family",,Lee Sun Kyun PD Do Hyun WooMain RoleSong Ji Hyo Team Leader Jeong Soo Yeon Main RoleKim Hee Won Lawyer Choi Yoon GiMain RoleYe Ji Won Eun Ah Ra Main RoleLee Sang Yeob PD Ahn Jun YoungMain RoleKwon BoA Scriptwriter Kwon Bo Yeong Main Role,Viki  ,"Lee Nam Gyu,Kim Hyo Shin,Lee Ye Rim","Friday, Saturday",,,,,
Always Springtime,2016,https://i.mydramalist.com/Kxg5Rc.jpg?v=1,Always Springtime,South Korea,122,,MBC,60 min,Not Yet Rated,6.8,23078,99999,226,"With an underlying theme of hope in a stressful, disconnected world, this drama centers around filial piety, family bonds and people of good character. This drama reveals the true meaning of marriage and love by depicting the current dating scene and social attitudes while contrasting the personalities amongst young people looking for a husband based on the man's social and wealth status instead of true love. There are good times and also bad times in life, but by having your loved ones by your side will make every day feel like a pleasant springtime.
(Source: MBC)","Family, Drama,Love",,KangByul Joo In JeongMain RoleKim So Hye Joo In HyeMain RoleKwon Hyun Sang Kang Yoon HoMain RolePark Jung Wook Koo Hyun JoonSupport RoleWon Ki Joon Han Min SuSupport RoleChoi Sang Hoon Kang Han GilSupport Role,Viki  ,Kim Mi Kyung,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Ugly Miss Young Ae Season 15,2016,https://i.mydramalist.com/KxjNqc.jpg?v=1,Ugly Miss Young Ae Season 15,South Korea,20,,tvN,60 min,Not Yet Rated,7.3,17981,99999,125,Drama series depicts the life and love of 39-year-old Young Ae.,"Comedy,Romance,Life",,Kim Hyun SookLee Young AeMain RoleLee Seung Jun Lee Sung JoonMain RoleJo Duk Je HimselfSupport RoleKwak Jin [Chinese business man]Support RoleLee Soo Min Support RoleJang Do Yeon Guest Role,Viki  ,Han Sang Jae,"Monday, Tuesday",,,,,
Entourage,2016,https://i.mydramalist.com/Dx8roc.jpg?v=1,Entourage,South Korea,16,,tvN,60 min,Not Yet Rated,6.8,5184,916,"8,857","This is the story of a handsomely famous celebrity who depends on his three friends and agency's boss who try to help him in his struggles as an actor and a man. 
(Source: IMDB)

~~ A remake of HBO's Entourage.","Remake, Show Business, Pre-produced",,"Seo Kang Joon Cha Yeong BinMain RoleJo Jin Woong Kim Eun GapMain RoleLee Kwang Soo Cha JoonMain RoleLee Dong Hwi Geobook ""Turtle""Main RolePark Jung Min Lee Ho JinMain RoleJang So Yeon Jo Tae Young [Screenwriter]Support Role",Viki  ,Jang Young Woo,"Friday, Saturday",,,,,
Dr. Romantic,2016,https://i.mydramalist.com/KxgYRc.jpg?v=1,Dr. Romantic,South Korea,20,,SBS,60 min,Not Yet Rated,8.7,109,120,"39,670","Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher Kim” and refers to himself as the “Romantic Doctor”. Meanwhile, Kang Dong Joo became a doctor to make something of himself after growing up poor, and he seeks out VIP patients to achieve the success that he desperately wants. Yoon Seo Jung is a passionate young surgeon who is haunted by a mistake from her past and tries to get over it. When Dong Joo and Seo Jung meet the quirky Teacher Kim, their lives and careers will never be the same again.","Romance,Medical,Melodrama",,Han Seok Kyu Teacher Kim / Dr. Boo Yong Joo / Kim Sa Bu Main RoleYoo Yeon Seok Dr. Kang Dong JooMain RoleSeo Hyun Jin Dr. Yoon Seo JungMain RoleChoi Jin Ho Do Yoon Wan [Geodae's Hospital Director]Support RoleYang Se Jong Dr. Do In Bum [Yoon Wan's son]Support RoleJang Hyuk Jin Dr. Song Hyun CheolSupport Role,Netflix  WeTV   Viki  SBS World   SBS VOD Kocowa ,Kang Eun Kyung,"Monday, Tuesday",,,,,
Golden Pouch,2016,https://i.mydramalist.com/OBYYPc.jpg?v=1,Golden Pouch,South Korea,122,,MBC,60 min,Not Yet Rated,7.5,3245,4366,"1,327","In the drama ""Golden Pouch”, Seok Hoon, a genius doctor who is an orphan loses his memory due to an accident on his wedding day. He wakes up mistakenly believing that the actors that were hired to pretend as his parents during the wedding as his real parents. He develops close ties with the couple and for the first time in his life, he experiences what it feels like to belong to a two-parent family. Later, the couple takes him in as their own son. Seol Hwa is the second daughter in the family who stays upbeat no matter how hard her life gets. One day, she comes across Seok Hoon, who is suffering from amnesia. Can she and Seok Hoon overcome the sticky threads of fate to fall in love? This romantic comedy revolves around an irritable doctor who abandons his profession to become a cook as he gets involved with a headstrong woman.
(Source: MBC)","Romance,Drama,Family,Melodrama",,Kim Ji Han Han Seok HoonMain RoleJung Woo Yeon Geum Seol HwaMain RoleLee Sun Ho Jun SangMain RoleSon Ga Young Bae Min HeeMain RoleAhn Nae Sang Geum Jung DoSupport RoleOh Young Shil Kim Choo JaSupport Role,Netflix  WeTV   Viki  SBS World   SBS VOD Kocowa ,Lee Hye Seon,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Oh My Geum Bi,2016,https://i.mydramalist.com/XZ1Enc.jpg?v=1,Oh My Geum Bi,South Korea,16,,KBS2,60 min,Not Yet Rated,8.2,685,1641,"4,823","Geum Bi is a spirited 8-year-old girl who suffers from Niemann-Pick Disease Type C (NPC), a rare genetic condition that makes her body unable to properly metabolize cholesterol and other lipids. The condition is often referred to as “childhood Alzheimer’s” because of the rapid mental and physical deterioration that accompanies it. Her single father, Hwi Cheol, is a swindler. While taking care of Geum Bi, he learns about the preciousness of life. Geum Bi’s stern mother, Jang Joo Yeong, is estranged from Hwi Cheol and disapproves of everything he does. Go Kang Hee is an arborist who likes to spend her time alone or on the search for stolen cultural artifacts. When Kang Hee meets Hwi Cheol, she finds herself drawn into his life. Can Geum Bi teach Kang Hee to mend her fractured heart?","Romance,Drama,Family,Melodrama",,Heo Jung Eun Yoo Geum BiMain RoleOh Ji Ho Mo Hwi CheolMain RolePark Jin Hee Go Kang HeeMain RoleOh Yoon Ah Jang Joo YeongSupport RolePark Min Soo Hwang Jae HaSupport RoleKang Ji Woo Hong Shil RaSupport Role,Netflix  WeTV   Viki  SBS World   SBS VOD Kocowa ,Kim Young Jo,"Wednesday, Thursday",,,,,
Weightlifting Fairy Kim Bok Joo,2016,https://i.mydramalist.com/D2X7Dc.jpg?v=1,Weightlifting Fairy Kim Bok Joo,South Korea,16,,MBC,60 min,Not Yet Rated,8.8,58,4,"1,19,130","Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams. Can she find a way to have love as well as glory at the age of 20? The characters within this drama are elite athletes in weightlifting, swimming and rhythmic gymnastics who work hard to reach their goals in life. It covers their coming-of-age stories and relationships through hectic life.
(Source: MBC)

~~ This drama is inspired by the life of South Korean Olympic weightlifter gold-medalist Jang Mi Ran.","Romance,Drama,Family",,Lee Sung Kyung Kim Bok JooMain RoleNam Joo Hyuk Jung Joon HyungMain RoleLee Jae Yoon Jung Jae YiMain RoleKyung Soo Jin Song Shi HoMain RoleCho Hye Jung Jung Nan Hee [Bok Joo's best friend]Support RoleLee Joo Young Lee Sun Ok [Bok Joo's best friend]Support Role,Netflix  WeTV   Viki  Prime Video Purchase  iWant TFC SubscriptionApple TV   Kocowa  ,"Yang Hee Seung,Kim Soo Jin","Wednesday, Thursday",,,,,
The Legend of the Blue Sea,2016,https://i.mydramalist.com/BjZj6c.jpg?v=1,The Legend of the Blue Sea,South Korea,20,,SBS,60 min,Not Yet Rated,8.4,422,17,"87,072","How can a mermaid from the Joseon era survive in modern society?

Shim Chung is a mermaid who follows her one true love, a nobleman’s son named Kim Ryung from the Joseon Dynasty, to modern-day Seoul. Ryung’s modern doppelgänger is Heo Joon Jae, a highly skilled scam artist who first becomes interested in Shim Chung because of a jade bracelet worth $6 million that Shim Chung wears.
With nowhere to go, Shim Chung is taken in by Joon Jae, who also finds his con partners, Jo Nam Doo and Tae Oh, hiding out in his home from a vengeful past victim of their scams. Shim Chung discovers a rival for Joon Jae’s heart in Cha Shi Ah, a researcher at KAIST who deals with ancient artifacts.
When a dangerous killer named Ma Dae Yeong, sent by Joon Jae’s stepmother who wants to make her own son the heir to Joon Jae’s fortunes, can Shim Chung survive her strange new environment while also helping Joon Jae avoid the dangers that await him?

“The Legend of the Blue Sea” is a 2016-2017 South Korean drama series directed by Jin Hyuk. The story is inspired by a historical tale about a mermaid contained in a short story anthology known as Eou Yadam by Joseon-era scholar Yu Mong In.
This drama marks the last acting role for superstar Lee Min Ho before he entered his mandatory two-year military service and the first acting role for Jun Ji Hyun after giving birth to her first child. Parts of the drama series were filmed on the Pacific island of Palau and in Spain.

(Source: Viki)","Comedy,Romance,Drama,Fantasy",,Lee Min Ho Heo Joon Jae / Kim Dam Ryung [Past]Main RoleJun Ji Hyun Shim Chung / Seo Hwa [Past]Main RoleLee Hee Joon Jo Nam DooSupport RoleShinWon Ho Tae OhSupport RoleShin Hae Sun Cha Shi AhSupport RoleMoon So Ri Ahn Jin JooSupport Role,Netflix  WeTV   Viki   Hulu  Apple TV   SBS VOD ,Park Ji Eun,"Wednesday, Thursday",,,,,
One More Happy Ending,2016,https://i.mydramalist.com/wjz3Jc.jpg?v=1,One More Happy Ending,South Korea,16,,MBC,60 min,Not Yet Rated,7.9,1730,463,"16,387","This drama focuses on the story of former singer Han Mi Mo who was in a band called “Angels,” and her friends in their 30’s. As the divorce rate and second marriages are becoming higher in the nation, these friends, too, are looking for love again after a string of failed marriages and relationships. A divorcee, a single dad, a 30-year-old Matrix single, and a husband in a hopeless marriage are intertwined in Han and her friend’s life, and this romantic comedy will depict how the characters go to great lengths to find romance and happiness in a fun and entertaining way.
(Source: MBC)","Sismance, Marriage, Single Father, Ex-spouse Comes Back, Matchmaking, Multiple Mains, Older Woman/Younger Man, Second Chance, Multiple Couples, Nice Male Lead",,"Jang Na Ra Han Mi Mo [former ""Angels"" member]Main RoleJung Kyung Ho Song Soo HyeokMain RoleYoo Da In Baek Da Jeong [former ""Angels"" member]Main RoleKwon Yool Dr. Goo Hae JunMain RoleYoo In Na Teacher Go Dong Mi [former ""Angels"" member]Main RoleSeo In Young Hong Ae Ran [Former ""Angels"" member]Main Role",Netflix  Viki  Kocowa Subscription,Heo Sung Hee,"Wednesday, Thursday",,,,,
Night Light,2016,https://i.mydramalist.com/3w25Wc.jpg?v=1,Night Light,South Korea,20,,MBC,60 min,Not Yet Rated,7.1,4744,2060,"3,711","This drama depicts the intense and fierce fight among three greedy individuals, in order to become the owner of most splendid light sources for the city that never sleeps: money and power. Seo Yi Kyung is a ruthless and sharp businesswoman, who is willing to do anything for her ambitions. Park Gun Woo is an heir to a big company who got betrayed by his love, Yi Kyung, 12 years ago. Lee Se Jin is a hired persona who gets attracted to Yi Kyung's aura and wants to be like her.","Business,Drama,Political",,Lee Yo Won Seo Yi KyungMain RoleJin Goo Park Gun WooMain RoleUee Lee Se JinMain RoleJung Hae In Tak [Yi Kyung's bodyguard]Support RoleJeon Gook Hwan Son Ui SungSupport RoleJung Han Yong Park Moo IlSupport Role,Netflix ,,"Monday, Tuesday",,,,,
Person Who Gives Happiness,2016,https://i.mydramalist.com/4oxe6c.jpg?v=1,Person Who Gives Happiness,South Korea,118,,MBC,60 min,Not Yet Rated,7.8,11210,5047,"1,068","There are three different mothers. Park Bok Ae is a selfish mother who would do anything to ensure that her children have a better life even if it inflicts pain on others. The cold-hearted Kim Ja Gyung is an actress who abandons her own son at birth in order to pursue her acting career. Then there is Im Eun Hee who adopts a boy and becomes a mother even if she never experienced what it was like to have a family. This TV miniseries revolves around a foster mother who struggles to protect her child from the biological mother who tries to take the child back after learning that her child has become a top child actor, making a lot of money. The story unfolds as the foster mom battles with the biological parent over custody. At the same time, Gun Woo's unchanging love towards Eun Hee proves that she is someone who deserves much love.
(Source: MBC)",Park Ji Hyun,,Lee Yoon Ji Im Eun HeeMain RoleJo Yeon Ho Im Ha YoonMain RoleSon Seung Won Lee Gun WooMain RoleKimMi Kyung Park Bok AeMain RoleLee Ha Yul Seo Suk JinMain RoleHa Yun Joo Kim Ja KyungMain Role,Netflix ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
First Love Again,2016,https://i.mydramalist.com/JkDdlc.jpg?v=1,First Love Again,South Korea,104,,KBS2,60 min,Not Yet Rated,7,21883,7923,495,"Lee Ha-Jin and Cha Do-Yoon were deeply in love and planned to marry, but, because of circumstances standing in their way, she broke up with him cruelly. Eight years later the two of them meet again. Ha Jin has ""erased"" memories of her first love and is now enthusiastic about cooking. On the contrary, Do Yoon is still trapped in the past, full of vengeance and hatred toward her. 
To complicate matters, enter Jeong Woo, a good man with ulterior motives, and Min Hee, an evil woman who will do anything to stay on top and in her mother's graces","Romance, School,Comedy",,Myung Se Bin Lee Ha JinMain RoleKim Seung Soo Cha Do YoonMain RolePark Jung Chul Choi Jung WooMain RoleWang Bit Na Baek Min HeeMain RoleLee Deok Hee Hong Mi AeSupport RoleKim Bo Mi Kim Mal SoonSupport Role,KBS World ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Love is Drop by Drop,2016,https://i.mydramalist.com/j0eRvc.jpg?v=1,Love is Drop by Drop,South Korea,120,,SBS,60 min,Not Yet Rated,7.4,15214,5458,942,Eun Bang Wool falls in love with the man who received a heart transplant from her ex-boyfriend. She faces secrets around her,Kim Young In,,Wang Ji Hye Eun Bang WoolMain RoleKang Eun Tak Park Woo HyeokMain RoleGong Hyun Joo Han Chae RinMain RoleKim Min Soo Kang Sang CheolMain RoleKim Hye Ri Na Yeong SookSupport RoleKim Yoon Kyung Park Woo Kyung Support Role,KBS World ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Goblin,2016,https://i.mydramalist.com/JkD8Xc.jpg?v=1,Goblin,South Korea,16,,tvN,60 min,Not Yet Rated,8.9,43,1,"1,43,064","Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.
(Source: AJ at MyDramaList)",Kim Eun Sook,,Gong Yoo Kim ShinMain RoleKim Go Eun Ji Eun TakMain RoleLee Dong Wook Grim ReaperMain RoleYoo In Na SunnyMain RoleYook Sung Jae Yoo Duk HwaMain RoleLee El [Samshin Lady]Support Role,Netflix  Viki  Prime Video Purchase  Apple TV ,,"Friday, Saturday",,,,,
Hwarang,2016,https://i.mydramalist.com/o7DVPc.jpg?v=1,Hwarang,South Korea,20,,KBS2,60 min,Not Yet Rated,8,1282,41,"66,045","The names of just a few Hwarangs are recorded in history. Not many people these days truly know about Hwarangs. How did they start? How did beautiful looking young men become at the center of unifying old Korea's Three Kingdoms? To these countless questions, we look forward to finding the answers. Let's imagine how life must have been for young people of Silla back in the 6th century. Let us tell you a story about their friendships and love.
(Source: KBS Wold)","Historical, Family, Drama, Martial Arts",,Park Seo Joon Moo Myung / Kim Sun WooMain RoleGo Ah Ra Ah RoMain RolePark Hyung Shik Sam Maek Jong / Kim Ji DwiMain RoleSeo Yea Ji Princess Sook MyungSupport RoleChoi Min Ho Kim Soo HoSupport RoleDo Ji Han Park Ban RyuSupport Role,Netflix  Viki  Apple TV Kocowa  ,,"Monday, Tuesday",,,,,
I'm Sorry Kang Nam Goo,2016,https://i.mydramalist.com/xAOmEc.jpg?v=1,I'm Sorry Kang Nam Goo,South Korea,120,,SBS,60 min,Not Yet Rated,7.2,18698,7478,553,A lethal but innocent love story of a man who only pursued success for his family towards a woman who lost everything after finding her husband's rich parents.,"Romance,Drama,Family,Melodrama",,Kim Min Seo Jung Mo AhMain RolePark Sun Ho Kang Nam GooMain RoleNa Ya Cha Young HwaMain RoleHeo Young Ran Im Soon JungMain RoleLee In Park Do HoonMain RoleLee Chang Hoon Shin Tae Jin [Nam Goo's uncle]Support Role,Netflix  Viki  Apple TV Kocowa  ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Choco Bank,2016,https://i.mydramalist.com/xjNByc.jpg?v=1,Choco Bank,South Korea,6,,Naver TV Cast,45 min,Not Yet Rated,7.2,4678,947,"8,576","Kim Eun Haeng is a college graduate entering the workforce. His father made sure to give him a lucky start in life by bestowing him with a name that means money. Eun Haeng (meaning Bank in Korean), along with a young woman named Ha Cho Co who is getting ready to start a business, deal with concerns many in their 20s struggle with when they start working for the first time. The story plays out as the two meet and find out more about the financial service industry.","Business,Comedy,Romance,Drama",,Kai Kim Eun HaengMain RolePark Eun Bin Ha Cho CoMain RoleYunJoon Suk Bae Dal SuSupport RoleLee Il Hwa [Eun Haeng's mother]Support RolePark Seo Yeon Ha Cho Co [Child]Support RoleKim Young Hee [Cho Co's landlord]Support Role,Viki  ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Thumping Spike,2016,https://i.mydramalist.com/Z5w0Jc.jpg?v=1,Thumping Spike,South Korea,20,,MBN,45 min,Not Yet Rated,7.7,2289,718,"11,408",A volleyball coach and her players aim for success during which they develop stronger bonds of friendship and teamwork. This youthful story shows sportsmanship and heart thumping romance.,"High School, Love, Sports ",,Song Jae Rim Hwang Jae WoongMain RoleHwang Seung Eon Kang Se RaMain RoleLee Tae Hwan Baek Woo JinSupport RoleShin Hyun Soo Lee Han SolSupport RoleKang Hui Park Hyun SungSupport RoleKim Byung Chun Son Byung Joo [Coach]Support Role,Viki  ,Choi Ji Yeon,"Saturday, Sunday",,,,,
Nightmare Teacher,2016,https://i.mydramalist.com/6QJ4Pc.jpg?v=1,Nightmare Teacher,South Korea,12,,Naver TV Cast,45 min,Not Yet Rated,7.6,2881,638,"12,549","When a new teacher arrives, students' dreams begin to come true. Ye-rim, the class president, has to solve the bizarre and scary mystery before it's too late.","Comedy,Romance,Family,Sitcom",,Kim So Hyun Kang Ye RimMain RoleLee Min Hyuk Seo Sang WooMain RoleUhm Ki Joon Han Bong GooMain RoleSeo Shin Ae Kim Seul GiSupport RoleKim Da Ye Ahn Shi YunSupport RoleBaek Seung Do Oh Gi CheolSupport Role,Netflix  Viki  ,,"Monday, Tuesday, Wednesday, Thursday",,,,,
Dramaworld,2016,https://i.mydramalist.com/l7lYQc.jpg?v=1,Dramaworld,South Korea,10,,Viki,45 min,Not Yet Rated,7.1,4813,817,"9,872","Claire Duncan is a 20-year old college student obsessed with Korean Drama. She's constantly glued to the screen watching her favorite actor, Joon Park, in 'Taste of Love.' Disappointed that her own life isn't nearly as exciting as those within the world of K-drama, Claire desperately wishes that she too could live in the world of 'Taste of Love.' Thanks to a touch of magic, Claire finds her world turned upside-down when she is sucked through her smartphone into the world of 'Taste of Love' and comes face to face with Joon Park himself. 
Claire also meets Seth Ko, a waiter who was also magically transported into the world of dramas years ago. With his help, Claire learns to navigate this new place. But her presence begins to throw 'Taste of Love' off-balance, causing other dramas to splice into the series. As things spiral further out of control, Claire realizes she can no longer just watch the drama unfold. She's now part of it, and it's her job to set things right. Before everything falls apart completely.

(Source: Wikipedia; Viki)","Romance,Drama,Melodrama,Fantasy",,Sean RichardJoon ParkMain RoleLiv Hewson Claire DuncanMain RoleBae Noo Ri Seo YeonMain RoleJustin Chon Seth KoMain RoleSa Hee Ga InSupport RoleWoo Do Hwan Seung Woo [Seo Yun's friend / Florist]Support Role,Viki  Apple TV ,,Sunday,,,,,
Touching You,2016,https://i.mydramalist.com/mk62qc.jpg?v=1,Touching You,South Korea,12,,Naver TV Cast,45 min,Not Yet Rated,7.4,4066,1272,"6,341","Do Jin Woo has a special ability: every time he touches someone, he can see into their future. One day, he meets and falls in love with aspiring makeup artist Jin Hee Young, who is an angel to those around her and doesn’t let the selfishness and cruelty of the world change her willingness to help people however she can. But, because he can see the future, Jin Woo knows this girl is doomed to a horrible fate. Can he use his powers to save her life, or will time prove too powerful an enemy to conquer, even for someone who knows what’s coming? 

(Source: HanCinema)","Thriller,Law,Romance,Drama",,Ok Taec Yeon Do Jin WooMain RoleSongHa Yoon Jin Hee YoungMain RolePark Joo Hyung Oh Young DalSupport RoleKim Do Jin Kang Hyun SeoSupport RoleIm Yoon Jung Kwon Mi SookSupport RoleGil Ha Ra Hwang Shin YoungSupport Role,Prime Video ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Spark,2016,https://i.mydramalist.com/jW6p8c.jpg?v=1,Spark,South Korea,12,,Naver TV Cast,45 min,Not Yet Rated,7.1,4724,1936,"3,973","'Spark' is a mini music drama like a night concert in the summertime, centering on a man who leaks a great deal of electricity after a sudden accident and a woman he can't get away from no matter how hard he tries.","Romance, Friendship, Love",,Na In Woo Yoon Ga OnMain RoleNam Bo Ra Son Ha NeulMain RoleYeo One Ji SungSupport RolePark Jin Joo Yang Jin SoonSupport RoleKwon Eun Soo Gong Ah ReumSupport RoleJoo Ah Reum Won Jae KyungSupport Role,Netflix  Viki ,,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Detective Alice 2,2016,https://i.mydramalist.com/7QRbnc.jpg?v=1,Detective Alice 2,South Korea,8,,Naver TV Cast,45 min,Not Yet Rated,6.9,22142,7721,519,Web-drama based on investigation.,"Romance,Drama,Family,Melodrama",,Kim Nam Joo Chun Yun JooMain RoleJo Dong Hyuk Jung Re OhMain RoleSong Seung Hyun Ma Jung SooMain RoleJi Seung Hyun Support RoleJung Geun Yoon Jong GooSupport RoleMin Hyo Won Kang Mi NaSupport Role,Kocowa   Viki ,,"Monday, Tuesday",,,,,
The Sound of Your Heart,2016,https://i.mydramalist.com/gJY3Wc.jpg?v=1,The Sound of Your Heart,South Korea,20,,Naver TV Cast,45 min,Not Yet Rated,8.3,479,662,"12,323","""The Sound of Your Heart"" comically follows Jo Suk's ridiculous but hilarious adventures with his girlfriend-turned-wife Ae Bong, their dogs, older brother Jo Joon, and parents. 

~~ Adapted from the webtoon ""The Sound of Heart"" (마음의소리) by Jo Suk (조석).
~~ Two versions available: 20 episodes (web version / 2 parts per episode) || 5 episodes (TV version / 4 parts per episode)","Romance,Drama,Family,Melodrama",,Lee Kwang Soo Jo SukMain RoleKim Dae Myung Jo JoonMain RoleJung So Min Choi Ae BongMain RoleKim Byung Ok Jo Chul WangMain RoleKimMi Kyung Kwon Jung GwonMain RolePark Sang Hoon Jo Joon [Young]Support Role,Netflix ,,"Monday, Thursday",,,,,
What's Up With These Kids!?,2016,https://i.mydramalist.com/Y8nyBc.jpg?v=1,What's Up With These Kids!?,South Korea,6,,Naver TV Cast,45 min,Not Yet Rated,6.4,5427,3894,"1,567",A drama of teenagers experiencing and overcoming a financial crisis within the school.,"Romance,Drama,Family",,Jung Da Bin Na Bo RamMain RoleN Choi Geum SonMain RoleHong Bin Jin Shi HwanMain RoleKim Chan Mi Geum Hye RaMain RoleChoi Soo Han Eun Kyung TaeSupport RoleLee Seung Hyung Gold KingSupport Role,Kocowa  ,,"Wednesday, Thursday",,,,,
Love for a Thousand More,2016,https://i.mydramalist.com/RWmyxc.jpg?v=1,Love for a Thousand More,South Korea,10,,Naver TV Cast,45 min,Not Yet Rated,7.6,3133,1314,"6,114","Pyeon Mi Jo is an immortal woman who does not wish to fall in love anymore. Nearly a thousand years old, her experiences in love tells her all men are ""bastards"" one way or another. But what's her current job? A Love Counselor. One day, she gets a new noisy neighbour, Yoo Joon Woo, a hip-hop crew leader.","Romance,Drama",,Kang Seung Yoon Yoo Joon WooMain RoleHwang Seung Eon Pyo Mi JoMain RoleKim Hee Jung Yeon Ji Support RoleJang Ki Yong JasonSupport RoleKim Jin Woo Hyung ShikSupport RoleLee Seung Joon Yulgok Yi ISupport Role,Kocowa  ,,"Monday, Wednesday, Friday",,,,,
Between Friendship and Love,2016,https://i.mydramalist.com/6VdxW_4c.jpg?v=1,Between Friendship and Love,South Korea,8,,"Naver TV Cast,vLive",45 min,Not Yet Rated,7.4,3735,3862,"1,587","Composed of 8 episodes that are each about 6 minutes long, the drama tells interesting stories of a couple in an office-dating relationship. Even though each clip is short, the web drama as a whole offers various sides of office dating such as heart-throbbing moments before the relationship blooms and little misunderstanding and difficulties arise in a relationship.","Romance,Drama,Family,Melodrama",,Bang Jae Ho WoojungMain RoleBaek Soo Hee Sa RangMain RoleJo Hye WonJung Min AhMain Role,Netflix  Viki ,,"Friday, Monday, Tuesday, Wednesday, Thursday, Saturday, Sunday",,,,,
